node_id,source,content_type,green_category,active_green_categories,label,article_id,source_title,section_title,sample_id,llm_topic_name,word_count,text_preview,x,y,z
article_1__section_007__chunk_001,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Solar Energy: The Fastest Growing Renewable,,,,"Many different methods exist for converting sunlight to energy but, in general, solar power plants require large land areas and high water useparticularly to cool the steam turbine and clean solar panels and reflective surfaces. Other th...",-5.465127468109131,11.008744239807129,14.415441513061523
article_1__section_008__chunk_001,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Wind Power: The Renewable with the Smallest Footprint?,,,,"As with solar energy, little is known about the potential impacts of wind energy development on biodiversity. Construction of wind farms can affect habitat quality, attract predators, and elevate the risk of fire. Roads built for access ...",-5.466255187988281,11.010051727294922,14.414141654968262
article_1__section_008__chunk_002,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Wind Power: The Renewable with the Smallest Footprint?,,,,"California, which has the most wind turbines, is believed to have nearly half (46.4%) of all bird collisions in the USA (Box 2). A review of 33 wind farms across North America concluded that rotor diameter did not affect the mortality ra...",-5.48547887802124,11.029342651367188,14.394845962524414
article_1__section_009__chunk_001,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Prescriptions for Sustainable Renewable Energy Growth,,,,"It is important to emphasize that research efforts on the three renewable energy sources examined here are uneven, with a particular gap in our understanding of solar energy and its impacts on biodiversity. However, based on this review,...",-5.5062432289123535,11.05015754699707,14.374168395996094
article_1__section_009__chunk_002,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Prescriptions for Sustainable Renewable Energy Growth,,,,"Recent basin-scale assessments have been made for the Mekong River and the Amazon, incorporating projected changes in hydrology and sediment transport that would affect ecosystem productivity, rural livelihoods, and biodiversity along th...",-5.531923770904541,11.076008796691895,14.348313331604004
article_1__section_010__chunk_001,article_index,article_chunk,environmental_awareness,environmental_awareness,article_1,article_1,How Green is ‘Green’ Energy?,Concluding Remarks,,,,"Renewable energy, a vital component of our global climate change mitigation strategy, needs to be considered within the broader context of biodiversity and ecosystem protection. Our analysis of three major types of renewableshydro, solar...",-5.45920467376709,11.002974510192871,14.421340942382812
article_10__section_001__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Abstract,,,,"Existing research studies on home automation systems mostly conserve energy by modeling the occupancy of users within home. Some others apply statistical approaches on the survey data about usage of appliances. Consequently, these resear...",0.7643074989318848,11.168221473693848,-9.553032875061035
article_10__section_002__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Introduction,,,,"In the last decade, the proliferation of smart devices has remarkably improved and reshaped the lifestyles of their users. A home automation system (HAS) introduces smartness and intelligence within home appliances to automate various ho...",0.8054105639457703,11.147478103637695,-9.435505867004395
article_10__section_002__chunk_002,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Introduction,,,,"This paper proposes a Markov-chain-based stochastic model to calculate user state transition probabilities which are then used to predict the energy demand in next few time slots. Initially, user daily life routines are acquired by condu...",0.8776594996452332,11.000646591186523,-9.399420738220215
article_10__section_002__chunk_003,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Introduction,,,,"In Section 4, we introduce the proposed PF-PEC algorithm for energy conservation in smart homes. We present our fog-based IoT architecture for smart homes and the details of real-world testbed in Section 5. Section 6 presents the experim...",0.7063261866569519,11.206954956054688,-9.601449966430664
article_10__section_003__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Markov chain for energy optimization,,,,Markov chain is a stochastic model in which the probability of each event in a sequence depends only on the state attained in the previous event. We provide more details of Markov chain in Section 3.1 where we discuss how we apply Markov...,0.9231739044189453,10.929126739501953,-9.312156677246094
article_10__section_004__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Smart home energy management,,,,A smart home energy management solution is proposed in. It considers a detailed set of attributes related to energy management in a smart home. These attributes are then linked to each other by meaningful and useful relationships. A fuzz...,0.8416292071342468,11.055560111999512,-9.469273567199707
article_10__section_005__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Feedback mechanism and new approaches for energy optimization,,,,The research in highlights the importance of information feedback for households' daily activities to improve the accuracy of energy consumption computations. This method gives direct feedback to households and the information is relevan...,0.8238910436630249,11.080667495727539,-9.513529777526855
article_10__section_006__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Fog-based architectures and human-comfort-based energy optimization,,,,Many fog-based and federated-learning-based architectures have been proposed and utilized in many applications in the past few years due to the increasing interest in fog and edge computing. A novel four-tier architecture for load optimi...,0.8484506011009216,10.998213768005371,-9.484343528747559
article_10__section_007__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Probabilistic model,,,,"We propose a Markov-Chain-based stochastic model which gives probabilities of user activities in a smart home. Moreover, the proposed model results in probabilities of consuming certain amount of power in specified time slots. This proba...",0.8824936151504517,10.94782829284668,-9.387653350830078
article_10__section_008__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Computing user states probabilities,,,,"Initially, we conduct a survey to receive user activity patterns throughout the day. This survey acquires information about the number of shared and personal appliances at home. It serves as an initial knowledge to the model and is used ...",0.9193992018699646,10.950604438781738,-9.363645553588867
article_10__section_008__chunk_002,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Computing user states probabilities,,,,"Fig. 1 shows the state diagram representing these activity states. It is clear from the diagram that each state is accessible from itself and all other states. Hereafter, unless clear from context, we use to denote the transition matrix ...",0.9402081966400146,10.940193176269531,-9.351861953735352
article_10__section_008__chunk_003,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Computing user states probabilities,,,,"These appliances also do not include heating or cooling appliances. of different user activity states. Thus, an increase in number of users increases the sample space essentially. Power consumption depends on the activity states of the u...",0.9389160871505737,10.97551441192627,-9.388447761535645
article_10__section_008__chunk_004,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Computing user states probabilities,,,,"The probability that all users are sleeping at time can be obtained as P all-asleep = ∏ u∈U P u 1 (t) (5 ) At least one user is hyper-active. The power consumption will be quite high when at least one user is hyper-active because, as not...",0.9147307276725769,10.91931438446045,-9.35068416595459
article_10__section_009__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,(t)).,,,,"The probability that all user are in non-hyper-active state can be computed as ∏ ∈ (1 - 3 ()). Thus, the probability that at least one user is in hyper-active state can be obtained as P 1+hyperactive = 1 - ∏ u∈U (1 -P u 3 (t))(6) At leas...",0.9755595326423645,10.923819541931152,-9.353315353393555
article_10__section_010__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Algorithm 1: Energy Consumption Modeling Algorithm,,,,"Input: User Activity Patterns Output:, the probability of power consumption",0.8233809471130371,10.979293823242188,-9.480830192565918
article_10__section_011__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Energy consumption modeling algorithm,,,,"In this section, we present our energy consumption modeling algorithm (see Algorithm 1) which leverages the model proposed in Section 3.1. The algorithm employs the probabilities computed in Eqs. (4)-(7) to estimate the energy consumptio...",0.8955552577972412,11.052959442138672,-9.403547286987305
article_10__section_011__chunk_002,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Energy consumption modeling algorithm,,,,"In each iteration, for each, these probabilities are computed and stored in an array to be used when the while loop terminates. Specifically, the algorithm uses the stored probabilities for each and computes the average probability of ea...",0.8582103252410889,11.011165618896484,-9.383912086486816
article_10__section_012__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Prediction and feedback based proactive energy management algorithm,,,,"In this Section, we present our PF-PEC algorithm that ensures reduction of appliances over-usage in a smart home during peak load hours, i.e., when electricity cost is typically higher than the normal rates. Considering an appliance acti...",0.7476367354393005,11.176191329956055,-9.562808990478516
article_10__section_013__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Calibration of threshold ranges on a common scale,,,,"To propose a single energy saving algorithm for all home appliances, it is necessary to calibrate environmental parameters on a common scale. These parameters are measured in frequently used units, i.e. temperature is measured in degree ...",0.873396635055542,11.055571556091309,-9.474433898925781
article_10__section_014__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,PF-PEC algorithm operations,,,,"Algorithm 2 outlines the pseudocode of PF-PEC algorithm which is executed in peak load hours. Peak load hours are denoted using, and represents the probability of power consumption obtained from Algorithm 1. The parameter is initialized ...",0.656524121761322,11.263201713562012,-9.62564754486084
article_10__section_014__chunk_002,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,PF-PEC algorithm operations,,,,"Another advantage of enabling feedback in the system is achieving higher accuracy of the produced results. One drawback of this feedback however, is that the system has to perform more number of computations. A visual description of this...",0.673488974571228,11.244558334350586,-9.626758575439453
article_10__section_015__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Our proposed fog-based architecture and a real-world testbed for smart homes,,,,"In this section, we provide architectural details of the smart home that we use as a test bed. A fog based IoT architecture for smart homes is presented to realize the implementation of proposed energy optimization algorithms in a smart ...",0.9984426498413086,10.923140525817871,-9.445230484008789
article_10__section_016__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Sensing and data acquisition,,,,Sensor modules are designed for data acquisition that resides multiple sensors. The microcontroller used in these modules contains 8kB of RAM and 16 channel 12 bit ADCs which makes it suitable for sensing modules. For wireless connectivi...,0.9652695655822754,11.084142684936523,-9.42440128326416
article_10__section_017__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Actuation,,,,"To enable smart actuation of appliances, an actuation module is designed to replace existing switch outlets in conventional and smart homes. The specifications of microcontroller used in actuation module are similar to that of sensor mod...",0.9698867797851562,11.109142303466797,-9.396661758422852
article_10__section_018__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,IoT fog node,,,,A large number of sensing and actuation modules are mostly installed in a smart home. To maintain the connectivity of each module with IoT cloud can be expensive in terms of resources. There is a need of IoT fog node that can maintain co...,0.8658349514007568,11.078372955322266,-9.480446815490723
article_10__section_018__chunk_002,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,IoT fog node,,,,"Other services including Secure Shell (SSH), Secure File Transfer Protocol (SFTP), Web and Android APIs are implemented to access the fog node for configuration purposes. The proposed fog node is implemented using Raspberry Pi 4, shown i...",0.9618418216705322,11.018672943115234,-9.565226554870605
article_10__section_019__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,IoT cloud,,,,"Our smart home architecture includes customized implementation of IoT cloud whose functional diagram is shown in Fig. 5. The IoT cloud is equipped with multiple services and plug-ins to facilitate interaction with fog node, users and dev...",0.9256864786148071,11.087631225585938,-9.479612350463867
article_10__section_020__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Real-world scenario to operate the test bed,,,,"The experiments are conducted on a real-world smart home system. We leverage the proposed system architecture presented in this section to implement a smart home system. A fog node, two sensor nodes and one actuation module is used in th...",0.9129830598831177,11.014164924621582,-9.449044227600098
article_10__section_021__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Experiments and results,,,,"In this Section, the performance analysis of proposed algorithms is presented. Firstly, the prediction results of energy consumption estimation model (Algorithm 1) are discussed followed by the evaluation of proposed PF-PEC (Algorithm 2)...",0.7074475288391113,11.21078872680664,-9.569217681884766
article_10__section_021__chunk_002,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Experiments and results,,,,"0.01-0.03, has the highest probability. Similarly, for other time slots, the results obtained from our energy consumption prediction model in terms of KWh ranges and their corresponding probabilities fairly match with that of actual ener...",0.8689935207366943,11.051097869873047,-9.442267417907715
article_10__section_021__chunk_003,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Experiments and results,,,,It shows that the highest probability events in 3a and 3b have more chances to correctly predict the actual energy usage which in turn means that the actual energy consumed have more chances of falling in the KWh range of highest probabi...,0.7865356206893921,11.121109962463379,-9.510790824890137
article_10__section_021__chunk_004,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Experiments and results,,,,It shows the daily time period for which both lights and a fan remained in on-state. These results validate that the PF-PEC algorithm further reduces energy consumption of a smart home. Fig. 9 graphically demonstrates these energy consum...,0.6342781782150269,11.28543472290039,-9.648947715759277
article_10__section_021__chunk_005,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Experiments and results,,,,"On the contrary, PF-PEC provides the energy conservation up to 36% while achieving the human comfort threshold of 0.5 as per the ASHRAE standard. Therefore, the M-CHESS algorithm though flexibly change the human comfort range to attain m...",0.6355898976325989,11.283010482788086,-9.66418743133545
article_10__section_022__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, scheduling_optimization",article_10,article_10,Energy management of smart homes over fog-based IoT architecture,Conclusion,,,,The paper presents energy management and optimization techniques to minimize energy consumption in smart dwellings. A Markov chain model is proposed to compute probabilities of power consumption in different time slots. This data set is ...,0.813819169998169,11.070436477661133,-9.438560485839844
article_11__section_001__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,Abstract,,,,"Smart homes hold the potential for increasing energy efficiency, decreasing costs of energy use, decreasing the carbon footprint by including renewable resources, and transforming the role of the occupant. At the crux of the smart home i...",-4.735863208770752,5.343031883239746,2.1427667140960693
article_11__section_002__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,I. INTRODUCTION,,,,"smart home may be defined as a well-designed structure with sufficient access to assets, communication, controls, data, and information technologies for enhancing the occupants' quality of life through comfort, convenience, reduced costs...",-4.611749649047852,5.219231605529785,2.0189871788024902
article_11__section_003__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,US MONTHLY INCOME AND COMMUNICATIONS EXPENDITURES FOR 1980 AND 2008,,,,This information may indicate that consumers are not averse to significantly changing their spending habits with the advent of new technologies. According to the US Bureau of Labor Statistics the average homeowner spent approximately 11%...,-4.713090419769287,5.320248603820801,2.1206610202789307
article_11__section_004__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,A. What is a Smart Home?,,,,A home is already a well-designed connector for power transfer between the electricity grid and energy-consuming appliances. A smart home also functions as a switchboard for data flow among appliances and participants such as the enduser...,-4.68020486831665,5.2864837646484375,2.0864176750183105
article_11__section_005__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,B. Economic feasibility and likelihood of widespread adoption,,,,Several market and technology trends are expected to accelerate the development of cost-effective AHEM systems that enable smart homes. These include: • Implementation of smart grids and continued growth in home offices will expand marke...,-4.692955017089844,5.299115180969238,2.10099720954895
article_11__section_006__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,C. Smart Home Energy Management,,,,Large-scale demonstration efforts have thus far approached smart home research with a strong utility focus and less homeowner focus. Currently the incentive for homeowner participation is limited to relatively small financial gain via ut...,-4.62156867980957,5.227012634277344,2.0266776084899902
article_11__section_007__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,III. ASSETS AND CONTROLS,,,,"In smart homes, many loads can be considered as assets that can participate in the efficient use of electric energy: thermal loads, electric vehicles, and smart appliances. By intelligently controlling their behavior in either a reactive...",-4.6279401779174805,5.237400531768799,2.0370166301727295
article_11__section_007__chunk_002,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,III. ASSETS AND CONTROLS,,,,"Adapting the charging schedule according to grid supply conditions offers additional possibilities, as described in section IV. The utility of such distributed storage may be improved when used together with distributed generationsources...",-4.591388702392578,5.201395511627197,2.000997304916382
article_11__section_007__chunk_003,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,III. ASSETS AND CONTROLS,,,,"The starting time can be postponed by several hours, with no impact on the user as long as the cycle is over when the user requested it initially. A similar strategy can be used to control freezer and refrigerator cycle so as to reduce p...",-4.606349468231201,5.215671062469482,2.0153002738952637
article_11__section_007__chunk_004,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,III. ASSETS AND CONTROLS,,,,"Analogously, smart homes may span the spectrum from the simple addition of discrete features -such as smart appliances or remotely controllable lighting and thermostats -to an automatically controlled, highly coordinated self-learning sy...",-4.585343837738037,5.196413040161133,1.9960590600967407
article_11__section_008__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,A. Utility-Side Enabling Technologies,,,,"One of the most pressing issues for a utility company is the management of peak demand. From electricity generation to delivery, the electricity grid is designed to serve consumers during peak demand conditions; however for most of the t...",-4.750035285949707,5.357948303222656,2.157519817352295
article_11__section_008__chunk_002,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,A. Utility-Side Enabling Technologies,,,,"5). Motivating residential customers to modify energy consumption habits is a difficult task that often has shown unexpected consequences. These will be discussed in more detail in section V, but here the authors will outline the existin...",-4.725683689117432,5.333232402801514,2.13283371925354
article_11__section_009__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,1) Rates,,,,"One tool that is traditionally used to influence demand of any commodity is its cost. For electricity utilities, each rate structure imposes specific requirements on the metering system to be implemented. Inclining-block, time-of-use (TO...",-4.735395431518555,5.343631267547607,2.1432507038116455
article_11__section_010__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,2) Demand Response,,,,"In addition to rate structures, utilities may employ other strategies, such as DR, to mitigate peak load conditions. DR refers to a group of technologies and mechanisms that enable load curtailment or shifting in response to supply condi...",-4.696578025817871,5.304619312286377,2.1042122840881348
article_11__section_010__chunk_002,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,2) Demand Response,,,,"This peak counters the purpose of a DR event, due to all the curtailed devices restarting their operation at the same time. Strategies such as cascading the beginning and end of the DR event for end-users can be used to mitigate this eff...",-4.6183953285217285,5.226868629455566,2.026463270187378
article_11__section_011__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,3) Smart Meters,,,,The above-described technologies rely on an enabling technology whose acceptance and implementation is accelerating: the smart meter (shown in Fig. 1). A smart meter provides the information and communication infrastructure to communicat...,-4.701026439666748,5.308852672576904,2.10847806930542
article_11__section_012__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,B. Customer-Side Enabling Technologies,,,,"Customer-side enabling technologies can rarely exist on their own merits. They usually require at least one utility side enabling technology to predate them. For example, a smart appliance is of lesser use without a dynamic rate structur...",-4.705724716186523,5.3133625984191895,2.112989902496338
article_11__section_013__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,1) Smart Loads,,,,Smart appliances are currently a fledging technology. A smart appliance is an end-use device that is connected to a HAN and may be able to automatically or remotely respond to signals from the utility or other sub-systems in the smart ho...,-4.7151336669921875,5.323159694671631,2.1227827072143555
article_11__section_014__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,2) Customer Portal,,,,"The information collected by the smart meter may be of high value to the consumer, as it can help increase awareness of energy consumption. To make this information accessible This report is available at no cost from the National Renewab...",-4.689694881439209,5.297351360321045,2.0969643592834473
article_11__section_015__chunk_001,article_index,article_chunk,occupancy_based_control,"occupancy_based_control, appliance_energy_management, environmental_awareness",article_11,article_11,Electric Energy Management in the Smart Home,C. Policy and Standards,,,,"Changes to energy policies and available subsidies for retrofitting existing homes with smart appliances as well as building new homes with smart technologies are viewed as non-technological enablers. In the US, the Energy Policy Act of ...",-4.615719318389893,5.22294282913208,2.022634983062744
