triggerTitle,triggerChannelTitle,actionTitle,actionChannelTitle,title,desc,trigger_class,action_class,rule_scope,topic_text,topic_id,topic_name,numtopic_id,sample_id,llm_topic_name,green_category,global_green_relevance,if_then_rule,green_relevance,keep_for_rag
Smart Home/Away,ecobee,Turn on lights,Philips Hue,Turn on lights when motion detected,Ecobee and Hue work together to detect occupancy and turn lights on,smart_home,smart_home,core_smart_home,"When Smart Home/Away from ecobee, do Turn on lights using Philips Hue. Turn on lights when motion detected. Ecobee and Hue work together to detect occupancy and turn lights on",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0011,presence_based_automation,occupancy_based_control,medium,IF Smart Home/Away from ecobee THEN Turn on lights using Philips Hue.,high,True
Smart Home/Away,ecobee,Turn on lights,Philips Hue,If motion is detected then turn on the lights.,Turn on the lights when I walk in door.,smart_home,smart_home,core_smart_home,"When Smart Home/Away from ecobee, do Turn on lights using Philips Hue. If motion is detected then turn on the lights.. Turn on the lights when I walk in door.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0012,presence_based_automation,occupancy_based_control,medium,IF Smart Home/Away from ecobee THEN Turn on lights using Philips Hue.,high,True
Smart Home/Away,ecobee,Turn on lights,Philips Hue,ecobee turn on lights,Use Ecobee3 Proximity Sensor to turn on Hue Lights,smart_home,smart_home,core_smart_home,"When Smart Home/Away from ecobee, do Turn on lights using Philips Hue. ecobee turn on lights. Use Ecobee3 Proximity Sensor to turn on Hue Lights",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0013,presence_based_automation,occupancy_based_control,medium,IF Smart Home/Away from ecobee THEN Turn on lights using Philips Hue.,high,True
New sound or motion event,Nest Cam,Turn on lights,Philips Hue,Automatically turn on your Hue lights when Nest Cam detects motion or sound,The lights will alert whoever (or whatever) is moving around that their presence has been noted!,smart_home,smart_home,core_smart_home,"When New sound or motion event from Nest Cam, do Turn on lights using Philips Hue. Automatically turn on your Hue lights when Nest Cam detects motion or sound. The lights will alert whoever (or whatever) is moving around that their presence has been noted!",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0014,presence_based_automation,occupancy_based_control,medium,IF New sound or motion event from Nest Cam THEN Turn on lights using Philips Hue.,medium,True
New motion event,Nest Cam,Blink lights,LIFX,"When motion is detected, blink LIFX lights red",Scare off any intruders by blinking your LIFX lights when your Nest Cam detects motion.,smart_home,smart_home,core_smart_home,"When New motion event from Nest Cam, do Blink lights using LIFX. When motion is detected, blink LIFX lights red. Scare off any intruders by blinking your LIFX lights when your Nest Cam detects motion.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0015,presence_based_automation,occupancy_based_control,medium,IF New motion event from Nest Cam THEN Blink lights using LIFX.,none,False
New sound or motion event,Nest Cam,Update Indicator,LaMetric Time,Someone At Home,This will message if there is something at home,smart_home,smart_home,core_smart_home,"When New sound or motion event from Nest Cam, do Update Indicator using LaMetric Time. Someone At Home. This will message if there is something at home",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0016,presence_based_automation,occupancy_based_control,medium,IF New sound or motion event from Nest Cam THEN Update Indicator using LaMetric Time.,none,False
Temperature is too high,Wireless Tag,Turn on fan for 15 minutes,Nest Thermostat,turn on fan when your room becomes too hot,"If your room is too hot, turn on fan no matter what temperature is set at Nest.",smart_home,smart_home,core_smart_home,"When Temperature is too high from Wireless Tag, do Turn on fan for 15 minutes using Nest Thermostat. turn on fan when your room becomes too hot. If your room is too hot, turn on fan no matter what temperature is set at Nest.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0017,presence_based_automation,occupancy_based_control,medium,IF Temperature is too high from Wireless Tag THEN Turn on fan for 15 minutes using Nest Thermostat.,high,True
Temperature drops below,Wink: Spotter,Set temperature,Nest Thermostat,If temp drops below 20 degrees on 1st floor then increase temp on Nest on ground floor,Compensate for warmer temperature on ground floor,smart_home,smart_home,core_smart_home,"When Temperature drops below from Wink: Spotter, do Set temperature using Nest Thermostat. If temp drops below 20 degrees on 1st floor then increase temp on Nest on ground floor. Compensate for warmer temperature on ground floor",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0018,presence_based_automation,occupancy_based_control,medium,IF Temperature drops below from Wink: Spotter THEN Set temperature using Nest Thermostat.,high,True
Temperature drops below,Wink: Spotter,Set hold until next transition,ecobee,Spotter_LowTemp_Ecobee,Control the Ecobee thermostat using temperature input from the Wink Spotter,smart_home,smart_home,core_smart_home,"When Temperature drops below from Wink: Spotter, do Set hold until next transition using ecobee. Spotter_LowTemp_Ecobee. Control the Ecobee thermostat using temperature input from the Wink Spotter",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0019,presence_based_automation,occupancy_based_control,medium,IF Temperature drops below from Wink: Spotter THEN Set hold until next transition using ecobee.,high,True
Money added,Wink: Porkfolio,Change to random color,Philips Hue,Porkfolio Random Colors,This changes a Hue bulb to a random color when you put money in a Porkfolio,smart_home,smart_home,core_smart_home,"When Money added from Wink: Porkfolio, do Change to random color using Philips Hue. Porkfolio Random Colors. This changes a Hue bulb to a random color when you put money in a Porkfolio",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0020,presence_based_automation,occupancy_based_control,medium,IF Money added from Wink: Porkfolio THEN Change to random color using Philips Hue.,none,False
Money added,Wink: Porkfolio,Blink a device,Greenwave Systems,Blink a light when money is added to my porkfolio,Blink a light when money is added to my porkfolio.,smart_home,smart_home,core_smart_home,"When Money added from Wink: Porkfolio, do Blink a device using Greenwave Systems. Blink a light when money is added to my porkfolio. Blink a light when money is added to my porkfolio.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0021,presence_based_automation,occupancy_based_control,medium,IF Money added from Wink: Porkfolio THEN Blink a device using Greenwave Systems.,none,False
Action Button Pressed,LaMetric Time,Toggle lights on/off,Philips Hue,Toggle Hue Lights with the click of a button,Toggle Hue Lights with the click of a button,smart_home,smart_home,core_smart_home,"When Action Button Pressed from LaMetric Time, do Toggle lights on/off using Philips Hue. Toggle Hue Lights with the click of a button. Toggle Hue Lights with the click of a button",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0022,presence_based_automation,occupancy_based_control,medium,IF Action Button Pressed from LaMetric Time THEN Toggle lights on/off using Philips Hue.,medium,True
Action Button Pressed,LaMetric Time,Send a command,openHAB,Turn off a light with LaMetric,Use the IFTTT LaMetric app to toggle an item in OpenHAB,smart_home,smart_home,core_smart_home,"When Action Button Pressed from LaMetric Time, do Send a command using openHAB. Turn off a light with LaMetric. Use the IFTTT LaMetric app to toggle an item in OpenHAB",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0023,presence_based_automation,occupancy_based_control,medium,IF Action Button Pressed from LaMetric Time THEN Send a command using openHAB.,none,False
Action Button Pressed,LaMetric Time,Set temperature,Nest Thermostat,Set your Nest thermostat to ___Â° with LaMetric Button,"You can change the preset temperature below.This Recipe requires special hardware, the Nest thermostat & the LaMetric (with IFTTT Button App).",smart_home,smart_home,core_smart_home,"When Action Button Pressed from LaMetric Time, do Set temperature using Nest Thermostat. Set your Nest thermostat to ___Â° with LaMetric Button. You can change the preset temperature below.This Recipe requires special hardware, the Nest thermostat & the LaMetric (with IFTTT Button App).",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0024,presence_based_automation,occupancy_based_control,medium,IF Action Button Pressed from LaMetric Time THEN Set temperature using Nest Thermostat.,medium,True
Alarm triggered,Scout Alarm,Start recording,Arlo,"If Scout Alarm (away) is tripped, Arlo records (10 min)",Change scout alarm mode and record length frequency,smart_home,smart_home,core_smart_home,"When Alarm triggered from Scout Alarm, do Start recording using Arlo. If Scout Alarm (away) is tripped, Arlo records (10 min). Change scout alarm mode and record length frequency",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0025,presence_based_automation,occupancy_based_control,medium,IF Alarm triggered from Scout Alarm THEN Start recording using Arlo.,none,False
Current condition changes to,Weather Underground,Breathe lights,LIFX,"If current weather condition changes to rain, then breathe lights",A LIFX bulb in my corridor notifies me when i should take an umbrella outside. Hamburg's weather is tricky!,context,smart_home,context_aware_smart_home,"When Current condition changes to from Weather Underground, do Breathe lights using LIFX. If current weather condition changes to rain, then breathe lights. A LIFX bulb in my corridor notifies me when i should take an umbrella outside. Hamburg's weather is tricky!",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0026,presence_based_automation,occupancy_based_control,medium,IF Current condition changes to from Weather Underground THEN Breathe lights using LIFX.,medium,True
You enter an area,Location,Turn light on,Leeo,Turn on your Leeo Smart Alert lights when you enter an area,"-iPhoneUse geo-fencing to select an area so when you enter it, the Leeo Smart Alert lights will turn on.",context,smart_home,context_aware_smart_home,"When You enter an area from Location, do Turn light on using Leeo. Turn on your Leeo Smart Alert lights when you enter an area. -iPhoneUse geo-fencing to select an area so when you enter it, the Leeo Smart Alert lights will turn on.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0027,presence_based_automation,occupancy_based_control,medium,IF You enter an area from Location THEN Turn light on using Leeo.,medium,True
New sound or motion event,Nest Cam,Turn on lights,Philips Hue,Automatically turn on your Hue lights when Nest Cam detects motion or sound,The lights will alert whoever (or whatever) is moving around that their presence has been noted!,smart_home,smart_home,core_smart_home,"When New sound or motion event from Nest Cam, do Turn on lights using Philips Hue. Automatically turn on your Hue lights when Nest Cam detects motion or sound. The lights will alert whoever (or whatever) is moving around that their presence has been noted!",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0028,presence_based_automation,occupancy_based_control,medium,IF New sound or motion event from Nest Cam THEN Turn on lights using Philips Hue.,medium,True
New motion event,Nest Cam,Turn device ON,SkylinkNet,"If Nest Cam detects motion, turn on a SkylinkNet lamp",Turn on SkylinkNet light module if your Nest Cam detects motion.,smart_home,smart_home,core_smart_home,"When New motion event from Nest Cam, do Turn device ON using SkylinkNet. If Nest Cam detects motion, turn on a SkylinkNet lamp. Turn on SkylinkNet light module if your Nest Cam detects motion.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0029,presence_based_automation,occupancy_based_control,medium,IF New motion event from Nest Cam THEN Turn device ON using SkylinkNet.,medium,True
Pulse - Yesterday's steps above,Withings,Mother plays a sound,Sen.se Mother,"When I reach my activity goal, Mother sighs happily","When I reach my activity goal, Mother sighs happily",smart_home,smart_home,core_smart_home,"When Pulse - Yesterday's steps above from Withings, do Mother plays a sound using Sen.se Mother. When I reach my activity goal, Mother sighs happily. When I reach my activity goal, Mother sighs happily",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0030,presence_based_automation,occupancy_based_control,medium,IF Pulse - Yesterday's steps above from Withings THEN Mother plays a sound using Sen.se Mother.,none,False
You exit an area,Location,Turn off,WeMo Lighting,"Leave location, turn off bulb",Having light walking to your car is quite en-light-ening but leaving it on feels so wrong. Problem solved! Exit the grid and poof the light is gone.,context,smart_home,context_aware_smart_home,"When You exit an area from Location, do Turn off using WeMo Lighting. Leave location, turn off bulb. Having light walking to your car is quite en-light-ening but leaving it on feels so wrong. Problem solved! Exit the grid and poof the light is gone.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0031,presence_based_automation,occupancy_based_control,medium,IF You exit an area from Location THEN Turn off using WeMo Lighting.,high,True
Action Button Pressed,LaMetric Time,Start activity,Harmony,Start Harmony Activity with LaMetric Button,"Start your Harmony activity from the LaMetric DO Button.This Applet requires special hardware, the Harmony system & the LaMetric (with IFTTT Button App).",smart_home,smart_home,core_smart_home,"When Action Button Pressed from LaMetric Time, do Start activity using Harmony. Start Harmony Activity with LaMetric Button. Start your Harmony activity from the LaMetric DO Button.This Applet requires special hardware, the Harmony system & the LaMetric (with IFTTT Button App).",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0032,presence_based_automation,occupancy_based_control,medium,IF Action Button Pressed from LaMetric Time THEN Start activity using Harmony.,none,False
Vehicle leaves a place,Zubie,Switch off,SmartThings,"When I leave home, turn off the lights","When Zubie detects a departure event from your Home, or any specified location, you can use the SmartThings service to turn off one or more lights.   You will need to have configured SmartThings devices and service to use this Applet.",context,smart_home,context_aware_smart_home,"When Vehicle leaves a place from Zubie, do Switch off using SmartThings. When I leave home, turn off the lights. When Zubie detects a departure event from your Home, or any specified location, you can use the SmartThings service to turn off one or more lights.   You will need to have configured SmartThings devices and service to use this Applet.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0033,presence_based_automation,occupancy_based_control,medium,IF Vehicle leaves a place from Zubie THEN Switch off using SmartThings.,high,True
tadoâ Â° switches to Away Mode,tado Heating,Turn off,WeMo Smart Plug,Lights off when you leave,I want to make sure my lights aren't left on when I leave the house.,smart_home,smart_home,core_smart_home,"When tadoâ Â° switches to Away Mode from tado Heating, do Turn off using WeMo Smart Plug. Lights off when you leave. I want to make sure my lights aren't left on when I leave the house.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0034,presence_based_automation,occupancy_based_control,medium,IF tado° switches to Away Mode from tado Heating THEN Turn off using WeMo Smart Plug.,high,True
tadoâ Â° switches to Away Mode,tado Heating,Switch off a socket,LightwaveRF Power,Turn off lights when Heating Turns off,"Tado works off your location, so when you leave, get it to turn off your lights!",smart_home,smart_home,core_smart_home,"When tadoâ Â° switches to Away Mode from tado Heating, do Switch off a socket using LightwaveRF Power. Turn off lights when Heating Turns off. Tado works off your location, so when you leave, get it to turn off your lights!",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0035,presence_based_automation,occupancy_based_control,medium,IF tado° switches to Away Mode from tado Heating THEN Switch off a socket using LightwaveRF Power.,high,True
tadoâ Â° switches to Away Mode,tado Heating,Turn lights off,LIFX,Turn off lights when everyone leaves home.,Every member of your household needs to be registered on Tado.  Switch this off if you have guests :-),smart_home,smart_home,core_smart_home,"When tadoâ Â° switches to Away Mode from tado Heating, do Turn lights off using LIFX. Turn off lights when everyone leaves home.. Every member of your household needs to be registered on Tado.  Switch this off if you have guests :-)",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0036,presence_based_automation,occupancy_based_control,medium,IF tado° switches to Away Mode from tado Heating THEN Turn lights off using LIFX.,high,True
tadoâ Â° switches to Away Mode,tado Heating,Turn lights off,LIFX,"If tadoÂ° switches to Away mode, then turn the lights off",No more searching for the light switch when you leave home. Automatically turn off your Lifx bulbs if tadoÂº notices that nobody is home.,smart_home,smart_home,core_smart_home,"When tadoâ Â° switches to Away Mode from tado Heating, do Turn lights off using LIFX. If tadoÂ° switches to Away mode, then turn the lights off. No more searching for the light switch when you leave home. Automatically turn off your Lifx bulbs if tadoÂº notices that nobody is home.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0037,presence_based_automation,occupancy_based_control,medium,IF tado° switches to Away Mode from tado Heating THEN Turn lights off using LIFX.,high,True
Current temperature drops below,Weather Underground,Activate shortcut,Wink: Shortcuts,Below specified temperature turn off appliance (portable A/C unit),I use this for my upstairs portable A/C unitThis  could also work great for window units as well.,context,smart_home,context_aware_smart_home,"When Current temperature drops below from Weather Underground, do Activate shortcut using Wink: Shortcuts. Below specified temperature turn off appliance (portable A/C unit). I use this for my upstairs portable A/C unitThis  could also work great for window units as well.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0038,presence_based_automation,occupancy_based_control,medium,IF Current temperature drops below from Weather Underground THEN Activate shortcut using Wink: Shortcuts.,high,True
Daily cost rises above,WeMo Insight Switch,Change color,Philips Hue,Increase Saturation as Cost increases,Add at 10ÃÂÃÂÃÂÃÂ¢ StepsUse http://www.colorhexa.com/ to configure gradients,smart_home,smart_home,core_smart_home,"When Daily cost rises above from WeMo Insight Switch, do Change color using Philips Hue. Increase Saturation as Cost increases. Add at 10ÃÂÃÂÃÂÃÂ¢ StepsUse http://www.colorhexa.com/ to configure gradients",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0039,presence_based_automation,occupancy_based_control,medium,IF Daily cost rises above from WeMo Insight Switch THEN Change color using Philips Hue.,none,False
Daily cost rises above,WeMo Insight Switch,Enable/Disable Econo mode,Daikin Online Controller,"If my Daikin AC unit consumes too much power, enable Econo mode.",Econo mode is only supported by the new R32 outdoor/indoor units.,smart_home,smart_home,core_smart_home,"When Daily cost rises above from WeMo Insight Switch, do Enable/Disable Econo mode using Daikin Online Controller. If my Daikin AC unit consumes too much power, enable Econo mode.. Econo mode is only supported by the new R32 outdoor/indoor units.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0040,presence_based_automation,occupancy_based_control,medium,IF Daily cost rises above from WeMo Insight Switch THEN Enable/Disable Econo mode using Daikin Online Controller.,high,True
Long press,WeMo Light Switch,Deactivate siren/strobe,SmartThings,Long press deactivates alarm,"This is the anti-panic button, do a long press on this button to defuse an alarm",smart_home,smart_home,core_smart_home,"When Long press from WeMo Light Switch, do Deactivate siren/strobe using SmartThings. Long press deactivates alarm. This is the anti-panic button, do a long press on this button to defuse an alarm",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0041,presence_based_automation,occupancy_based_control,medium,IF Long press from WeMo Light Switch THEN Deactivate siren/strobe using SmartThings.,none,False
You enter an area,Location,Turn on fan for 15 minutes,Nest Thermostat,Turn on Nest when I get near home,Set the area around your home,context,smart_home,context_aware_smart_home,"When You enter an area from Location, do Turn on fan for 15 minutes using Nest Thermostat. Turn on Nest when I get near home. Set the area around your home",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0042,presence_based_automation,occupancy_based_control,medium,IF You enter an area from Location THEN Turn on fan for 15 minutes using Nest Thermostat.,medium,True
You enter an area,Location,Breathe lights,LIFX,Lifx lights breathe to announce you are almost home,Easier than calling,context,smart_home,context_aware_smart_home,"When You enter an area from Location, do Breathe lights using LIFX. Lifx lights breathe to announce you are almost home. Easier than calling",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0043,presence_based_automation,occupancy_based_control,medium,IF You enter an area from Location THEN Breathe lights using LIFX.,medium,True
You enter an area,Location,Turn lights off,LIFX,Enter an area? Lights go off!,"You know when is happens? You just get to work and, *Poof*! ""I NEEDED TO TURN OFF MY LIGHTS!!""Well, no longer will that happen! Just change the location to your work, and the lights will automatically turn off :D",context,smart_home,context_aware_smart_home,"When You enter an area from Location, do Turn lights off using LIFX. Enter an area? Lights go off!. You know when is happens? You just get to work and, *Poof*! ""I NEEDED TO TURN OFF MY LIGHTS!!""Well, no longer will that happen! Just change the location to your work, and the lights will automatically turn off :D",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0044,presence_based_automation,occupancy_based_control,medium,IF You enter an area from Location THEN Turn lights off using LIFX.,high,True
You exit an area,Location,Turn lights off,LIFX,"If you exit an area, turn lights off",all lights will be turned off,context,smart_home,context_aware_smart_home,"When You exit an area from Location, do Turn lights off using LIFX. If you exit an area, turn lights off. all lights will be turned off",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0045,presence_based_automation,occupancy_based_control,medium,IF You exit an area from Location THEN Turn lights off using LIFX.,high,True
You exit an area,Location,Turn lights off,LIFX,"Turn off lights, when leaving","Turns off all of your lights, when you leave the location",context,smart_home,context_aware_smart_home,"When You exit an area from Location, do Turn lights off using LIFX. Turn off lights, when leaving. Turns off all of your lights, when you leave the location",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0046,presence_based_automation,occupancy_based_control,medium,IF You exit an area from Location THEN Turn lights off using LIFX.,high,True
You enter an area,Location,Turn lights on,LIFX,Turn your lights on as you arrive home,Automatically turn your lights on as you arrive home.,context,smart_home,context_aware_smart_home,"When You enter an area from Location, do Turn lights on using LIFX. Turn your lights on as you arrive home. Automatically turn your lights on as you arrive home.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0047,presence_based_automation,occupancy_based_control,medium,IF You enter an area from Location THEN Turn lights on using LIFX.,medium,True
You enter an area,Location,Turn lights on,LIFX,Turn off light as you leave.,LIFX bulbs fade away when your GOS shows you are away from home.,context,smart_home,context_aware_smart_home,"When You enter an area from Location, do Turn lights on using LIFX. Turn off light as you leave.. LIFX bulbs fade away when your GOS shows you are away from home.",-1,-1_use smartthings_detects_automatically turn_run homeseer event,T_OUTLIER,T_OUTLIER_S0048,presence_based_automation,occupancy_based_control,medium,IF You enter an area from Location THEN Turn lights off using LIFX.,high,True
